,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
486,0.035,0.21110041228223764,41.073025273400276,0.23904572186687872,0.17728105208558367,0.5414213562373095,138.0,151.85714285714286,165.0
487,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,138.0,152.0,178.0
488,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,137.0,154.66666666666666,175.0
489,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,142.0,158.11111111111111,175.0
490,0.037500000000000006,0.21850968611841584,82.14605054680055,0.28284271247461906,0.16329931618554522,0.6000000000000001,139.0,160.06666666666666,188.0
491,0.037500000000000006,0.21850968611841584,-41.073025273400276,0.2309401076758503,0.20132891827388666,0.5707106781186548,146.0,162.6,182.0
492,0.04750000000000001,0.24592453796829675,-38.74297383116854,0.3196534139673313,0.19347837942437102,0.7414213562373095,137.0,154.6315789473684,174.0
493,0.022500000000000006,0.1692568750643269,-41.073025273400276,0.16329931618554522,0.16329931618554522,0.4,144.0,172.88888888888889,195.0
494,0.04750000000000001,0.24592453796829675,43.403076715632004,0.3196534139673314,0.19347837942437104,0.7414213562373095,137.0,154.0,175.0
495,0.26000000000000006,0.5753627391751592,-19.93665704109375,0.6071471906240675,0.5951047435378141,2.2071067811865475,137.0,169.02884615384616,228.0
496,0.13000000000000003,0.40684289451282196,35.06846658366303,0.5671138007907429,0.37681746828975293,1.4949747468305832,139.0,172.53846153846155,220.0
497,0.037500000000000006,0.21850968611841584,-41.073025273400276,0.2309401076758503,0.20132891827388666,0.5707106781186548,145.0,178.8,216.0
498,0.06250000000000001,0.28209479177387814,2.8051167896088702,0.37951632697857485,0.20884290161911534,0.8414213562373096,138.0,161.48,199.0
499,0.07750000000000001,0.31412746571571093,-8.047987581808776,0.5161670949491981,0.25062303306257977,1.1414213562373097,137.0,166.48387096774192,209.0
500,0.04750000000000001,0.24592453796829675,11.701707558412158,0.2772349116888545,0.21478476084574905,0.6707106781186548,138.0,167.68421052631578,197.0
501,0.2775000000000001,0.5944106103225343,-22.48358062782777,1.0543471989601358,0.372370231016277,2.671015510839149,137.0,169.03603603603602,222.0
502,0.12000000000000002,0.390882009522336,26.676688515969587,0.5834471643702205,0.2668732860980904,1.3242640687119285,138.0,167.35416666666666,199.0
503,0.08500000000000002,0.3289762321239771,-19.508450365664256,0.3789073292781106,0.3287706426573223,1.1121320343559642,139.0,173.47058823529412,213.0
504,0.037500000000000006,0.21850968611841584,82.14605054680055,0.28284271247461906,0.16329931618554522,0.6000000000000001,147.0,175.93333333333334,220.0
505,0.3550000000000001,0.6723094811029983,-68.50051599154969,1.3980299689474378,0.38028091550965676,3.189949493661167,137.0,173.44366197183098,220.0
506,0.16000000000000003,0.45135166683820505,-44.19938530360346,0.5378427573921659,0.42491103430105426,1.565685424949238,138.0,167.828125,207.0
